ID,NAME,GOALS,ASSISTS,SAVES,SHOTS,SCORE,GAMES,BOOST USAGE,NUMBER OF SMALL BOOSTS,NUMBER OF LARGE BOOSTS,WASTED COLLECTION,WASTED USAGE,TIME FULL BOOST,TIME LOW BOOST,TIME NO BOOST,STOLEN BOOSTS,AVERAGE BOOST LVL,BALL HIT FORWARD,T NEAREST BALL,T FURTHEST BALL,POSSESSION T,TURNOVERS,TURNOVERS MY HALF,TURNOVERS THEIR HALF,WON TURNOVERS,T ON GROUND,T LOW AIR,T HIGH AIR,T DEFENDING HALF,T ATTACKING HALF,T DEFENDING THIRD,T NEUTRAL THIRD,T ATTACKING THIRD,T BEHIND BALL,T FRONT BALL,T NEAR WALL,T CORNER,AVG SPEED,AVG HIT DISTANCE,AVG DISTANCE FROM CENTER,TOTAL HITS,TOTAL PASSES,TOTAL SHOTS,TOTAL DRIBBLES,TOTAL DTIBBLE CONTS,TOTAL AERIALS,T AT SLOW SPEED,T AT SUPERSONIC,T AT BOOST SPEED
76561198826804115,DUC | GoldenGomez,3,3,9,2,2003,5,5,5,5,5,1028.318163558929,70.03112553100006,371.88010571299935,93.07095547499995,21,659.9842819019246,278392.72,407.5544115759992,356.4688995629994,340.737921421,38,14,16,44,957.0350711450002,585.6577692840001,47.889587217999996,1022.9738754000001,567.608552247,750.328665055,505.33745178800007,334.916310804,1111.6497627790002,478.9326648680001,344.085276827,17.721040639,73160.37701564353,11717.52653089356,8257.781793602979,0,27,17,48,48,49,175.6113780179994,185.15987974399928,861.8251710830106
76561198254670780,Wubby,5,6,11,5,2466,5,5,5,5,5,1220.1222393253215,121.93037584799974,505.0284722359991,177.98485441499946,28,609.0719520873699,246426.04999999996,364.2573921639994,426.91048862299897,390.108563504,38,18,19,42,883.6536259970001,678.126168028,34.874504982999994,936.9825514230001,659.6717475850002,647.884807293,548.148176097,400.62131561800004,1164.196305224,432.45799378400005,343.987753517,13.507892318000001,74166.9277675659,12646.20917779806,9164.507931188267,0,33,18,29,28,35,156.07484578999953,176.21687279399956,880.7541886810106
76561198036126143,Thunderballs,10,3,9,1,2764,5,5,5,5,5,2327.7727408306982,163.14837434999953,469.6377481979989,148.83422386699968,22,643.8005362358809,347403.66,406.11434076499927,473.35142717699944,400.833001177,52,17,21,36,871.234730279,661.4631259530001,63.94226207300001,1005.401594239,591.2385240660001,731.822470702,541.545529454,323.27211814900005,1249.2375033810001,347.402614924,336.091241651,23.892056626,81611.47155512453,13338.854136561355,9165.047583739171,0,22,15,40,41,65,111.41511552899982,276.5022635909994,1085.2592749100213
76561198043926910,DUC | Holo,6,0,7,2,2194,5,5,5,5,5,1787.8665734935694,99.58667535999994,566.9091130949986,265.4498646519993,26,555.9110063996466,302983.26000000007,421.81853152999946,343.0138606719993,382.57393363000006,40,17,16,46,935.9385784990001,583.6725038940001,76.37989200999999,1008.0200608750001,587.970913528,721.2082762130001,544.7267039310001,330.05599425900004,1122.3676787460001,473.5885726570001,369.029314461,22.473962807000003,77725.70118969039,12066.097455665342,8230.712853045427,0,23,11,49,51,46,137.45816428099963,216.36756160399935,986.4396322820162
76561198055479171,TYR | Barry Allen,8,6,9,3,2769,5,5,5,5,5,1391.0508653257432,99.23437552499999,520.4334008870002,201.26393335700004,29,598.0439596031217,292896.22,379.0306559200004,421.9840545570002,350.15163252900004,43,17,23,41,956.8821236939999,591.049017669,51.409542184,981.361129349,618.052612259,699.4269350750001,544.911040968,355.075765565,1178.351440546,421.06230106199996,338.28014843,17.476437854,76977.449363899,12742.68670673584,8909.886987466214,0,23,22,45,45,48,141.4967809989999,233.22666417900012,952.8802152349988
76561198799679680,Fuzh,10,5,7,4,3079,5,5,5,5,5,1666.970633674889,107.78137349200006,477.72622026399995,148.57285596000003,30,647.5146143503805,354839.63,446.7378770429996,443.50912887200036,435.32642013,42,15,18,60,897.7751768570001,657.2709701379999,51.943259,960.2056756489999,646.783730346,696.4275026090002,518.449535275,392.112368111,1104.703532304,502.285873691,356.164082301,16.617436159,79266.79450471303,11519.541058482122,8871.910070362861,0,28,22,82,81,49,105.31405254599998,272.8885762210004,1000.5660369099996
76561198105534009,FLA | whale,9,4,8,3,2673,5,5,5,5,5,1306.088175382669,151.8672138110002,516.6618580159998,202.35038251900005,24,607.5143675687863,297088.20999999996,359.60216645300017,417.81119961000036,308.274246241,45,15,15,40,949.984861728,614.6154086619999,43.698229594,999.2770378060001,609.021462178,670.5464926300001,599.2600418979999,338.491965456,1166.6718159700001,441.62668401400003,314.991445389,18.383766121,77487.15601920545,14390.168161763966,8127.0539277596,0,31,8,29,28,43,117.835905372,211.45531370300017,972.0316583369982
76561198844428959,FLA | Smilez,7,6,12,4,2931,5,5,5,5,5,2282.1932614126076,84.29789376099998,571.2688445569999,214.48294576800012,14,560.0439512169066,320684.51,432.0494773130001,334.11579369,413.557024241,56,27,23,45,812.2889620020001,729.2252366969999,69.818328771,1003.3375240820001,608.101552105,716.433388098,542.942676842,352.06301124699996,1191.0731895650001,420.36588662199995,338.207995254,24.881783346,79974.06423349663,13892.135908861663,8112.724470753791,0,27,16,42,41,65,126.02595598900004,312.16295265100024,1017.1121601159974
