NAME,SCORE,POSSESSION TIME,TURNOVERS,TURNOVERS IN MY HALF,TURNOVERS IN THEIR HALF,WON TURNOVERS,TOTAL HITS,TOTAL PASSES,TOTAL SHOTS,TOTAL DRIBBLES,TOTAL DRIBBLES CONTS,TOTAL AERIALS
FOXES,7,314.2749962490027,30,11,15,36,169,23,8,0,36,38
DUCKS,1,311.09291909800174,36,12,20,30,149,18,16,0,30,40
